,x,pdf,cdf,type,type_specific,parameter1,parameter2,location,parameter
0,-4.264890793922825,4.478732981161674e-05,9.99999999999997e-06,normal,normal: mean=0 var=1,0.0,1.0,0,
1,-4.247797043245777,4.816738655040392e-05,1.0794141427649523e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
2,-4.23070329256873,5.1787398625039116e-05,1.1648089666372572e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
3,-4.213609541891683,5.566320515657986e-05,1.2566080502431648e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
4,-4.196515791214635,5.9811600581648806e-05,1.355262856579294e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
5,-4.179422040537587,6.425038579147754e-05,1.4612544093915706e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
6,-4.1623282898605405,6.899842156547463e-05,1.575095058920527e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
7,-4.145234539183493,7.407568437320341e-05,1.6973303409983466e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
8,-4.128140788506445,7.9503324619118e-05,1.8285409336095363e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
9,-4.1110470378293975,8.530372740474671e-05,1.9693447151547183e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
10,-4.093953287152351,9.150057588317235e-05,2.1203989287847124e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
11,-4.076859536475303,9.811891728067032e-05,2.2824024573001335e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
12,-4.059765785798255,0.00010518523166017729,2.45609821323946e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
13,-4.042672035121208,0.0001127275035009065,2.6422756489061113e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
14,-4.025578284444161,0.00012077529616782943,2.8417733912113735e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
15,-4.008484533767113,0.0001293598293439602,3.055482006335583e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
16,-3.9913907830900657,0.00013851405949733,3.2843468993336344e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
17,-3.9742970324130185,0.00014827276345327813,3.5293713539328645e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
18,-3.957203281735971,0.0001586726251411222,3.791619717890777e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
19,-3.9401095310589236,0.00016975232558246137,4.07222073939639e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
20,-3.923015780381876,0.00018155263618625737,4.372371060112596e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
21,-3.9059220297048287,0.00019411651541340766,4.69333887056585e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
22,-3.8888282790277815,0.00020748920887080373,5.036467733694721e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
23,-3.871734528350734,0.0002217183528917745,5.403180582468642e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
24,-3.854640777673686,0.00023685408165640215,5.7949838975825414e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
25,-3.837547026996639,0.0002529491379013983,6.213472071321422e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
26,-3.8204532763195918,0.0002700589872650578,6.660331963770545e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
27,-3.803359525642544,0.0002882419363082304,7.137347657620074e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
28,-3.786265774965497,0.00030755925424728046,7.646405417879878e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
29,-3.769172024288449,0.0003280752984295923,8.18949886287629e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
30,-3.752078273611402,0.00034985764357632826,8.768734352950343e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
31,-3.7349845229343543,0.0003729772148108634,9.386336603313851e-05,normal,normal: mean=0 var=1,0.0,1.0,0,
32,-3.717890772257307,0.0003975084244845325,0.00010044654527544996,normal,normal: mean=0 var=1,0.0,1.0,0,
33,-3.7007970215802595,0.00042352931280411054,0.00010746167318220225,normal,normal: mean=0 var=1,0.0,1.0,0,
34,-3.6837032709032123,0.000451121692257674,0.00011493490771178145,normal,normal: mean=0 var=1,0.0,1.0,0,
35,-3.6666095202261646,0.00048037129582729446,0.00012289383859900572,normal,normal: mean=0 var=1,0.0,1.0,0,
36,-3.6495157695491174,0.00051136792896822,0.00013136755566467255,normal,normal: mean=0 var=1,0.0,1.0,0,
37,-3.6324220188720697,0.0005442056253249586,0.00014038671975498746,normal,normal: mean=0 var=1,0.0,1.0,0,
38,-3.6153282681950225,0.0005789828061448417,0.00014998363637443122,normal,normal: mean=0 var=1,0.0,1.0,0,
39,-3.598234517517975,0.0006158024433393209,0.00016019233207485836,normal,normal: mean=0 var=1,0.0,1.0,0,
40,-3.5811407668409276,0.0006547722261323156,0.0001710486336626726,normal,normal: mean=0 var=1,0.0,1.0,0,
41,-3.5640470161638804,0.0006960047312235299,0.0001825902502848096,normal,normal: mean=0 var=1,0.0,1.0,0,
42,-3.5469532654868328,0.0007396175963825881,0.00019485685845289092,normal,normal: mean=0 var=1,0.0,1.0,0,
43,-3.529859514809785,0.0007857336973773167,0.00020789019006340316,normal,normal: mean=0 var=1,0.0,1.0,0,
44,-3.512765764132738,0.0008344813281263434,0.00022173412346996498,normal,normal: mean=0 var=1,0.0,1.0,0,
45,-3.4956720134556907,0.000885994383952493,0.00023643477766176795,normal,normal: mean=0 var=1,0.0,1.0,0,
46,-3.478578262778643,0.0009404125477992015,0.0002520406096000371,normal,normal: mean=0 var=1,0.0,1.0,0,
47,-3.4614845121015954,0.0009978814792573664,0.00026860251476187343,normal,normal: mean=0 var=1,0.0,1.0,0,
48,-3.444390761424548,0.0010585530062346786,0.00028617393093811086,normal,normal: mean=0 var=1,0.0,1.0,0,
49,-3.427297010747501,0.001122585319083588,0.0003048109453288151,normal,normal: mean=0 var=1,0.0,1.0,0,
50,-3.4102032600704533,0.0011901431669875835,0.0003245724049767443,normal,normal: mean=0 var=1,0.0,1.0,0,
51,-3.393109509393406,0.0012613980563885333,0.00034552003057556225,normal,normal: mean=0 var=1,0.0,1.0,0,
52,-3.3760157587163584,0.0013365284512203673,0.00036771853368570403,normal,normal: mean=0 var=1,0.0,1.0,0,
53,-3.358922008039311,0.0014157199746963633,0.0003912357373866351,normal,normal: mean=0 var=1,0.0,1.0,0,
54,-3.3418282573622635,0.0014991656123789362,0.00041614270038977763,normal,normal: mean=0 var=1,0.0,1.0,0,
55,-3.3247345066852163,0.001587065916241879,0.0004425138446315594,normal,normal: mean=0 var=1,0.0,1.0,0,
56,-3.3076407560081686,0.0016796292094157473,0.0004704270863609631,normal,normal: mean=0 var=1,0.0,1.0,0,
57,-3.2905470053311214,0.001777071791287278,0.0004999639707304319,normal,normal: mean=0 var=1,0.0,1.0,0,
58,-3.2734532546540738,0.0018796181426037693,0.0005312098098932623,normal,normal: mean=0 var=1,0.0,1.0,0,
59,-3.2563595039770266,0.0019875011302127902,0.0005642538246044137,normal,normal: mean=0 var=1,0.0,1.0,0,
60,-3.2392657532999793,0.002100962211046982,0.0005991892893152135,normal,normal: mean=0 var=1,0.0,1.0,0,
61,-3.2221720026229317,0.0022202516349426383,0.0006361136807455625,normal,normal: mean=0 var=1,0.0,1.0,0,
62,-3.205078251945884,0.0023456286458595488,0.0006751288299100261,normal,normal: mean=0 var=1,0.0,1.0,0,
63,-3.187984501268837,0.0024773616810482924,0.0007163410775666535,normal,normal: mean=0 var=1,0.0,1.0,0,
64,-3.1708907505917896,0.0026157285676894947,0.0007598614330494109,normal,normal: mean=0 var=1,0.0,1.0,0,
65,-3.153796999914742,0.002761016716508081,0.0008058057364367595,normal,normal: mean=0 var=1,0.0,1.0,0,
66,-3.1367032492376943,0.002913523311843863,0.0008542948240003184,normal,normal: mean=0 var=1,0.0,1.0,0,
67,-3.119609498560647,0.0030735554976382786,0.0009054546968684146,normal,normal: mean=0 var=1,0.0,1.0,0,
68,-3.1025157478836,0.0032414305587754916,0.0009594166928299552,normal,normal: mean=0 var=1,0.0,1.0,0,
69,-3.085421997206552,0.003417476097194785,0.001016317661194268,normal,normal: mean=0 var=1,0.0,1.0,0,
70,-3.0683282465295045,0.003602030202170052,0.0010763001406123597,normal,normal: mean=0 var=1,0.0,1.0,0,
71,-3.0512344958524573,0.0037954416141313054,0.0011395125397546226,normal,normal: mean=0 var=1,0.0,1.0,0,
72,-3.03414074517541,0.003998069881382697,0.0012061093207290858,normal,normal: mean=0 var=1,0.0,1.0,0,
73,-3.0170469944983624,0.004210285509051469,0.0012762511851131084,normal,normal: mean=0 var=1,0.0,1.0,0,
74,-2.999953243821315,0.004432470099582696,0.0013501052624599148,normal,normal: mean=0 var=1,0.0,1.0,0,
75,-2.982859493144268,0.004665016484075878,0.0014278453011294522,normal,normal: mean=0 var=1,0.0,1.0,0,
76,-2.9657657424672204,0.004908328843741062,0.0015096518612808857,normal,normal: mean=0 var=1,0.0,1.0,0,
77,-2.9486719917901727,0.005162822820734664,0.001595712509851506,normal,normal: mean=0 var=1,0.0,1.0,0,
78,-2.9315782411131255,0.005428925617618704,0.0016862220173341073,normal,normal: mean=0 var=1,0.0,1.0,0,
79,-2.9144844904360783,0.005707076084671274,0.0017813825561517967,normal,normal: mean=0 var=1,0.0,1.0,0,
80,-2.8973907397590306,0.005997724794261491,0.0018814039004157812,normal,normal: mean=0 var=1,0.0,1.0,0,
81,-2.880296989081983,0.006301334101488592,0.0019865036268383084,normal,normal: mean=0 var=1,0.0,1.0,0,
82,-2.8632032384049357,0.006618378190272657,0.00209690731655895,normal,normal: mean=0 var=1,0.0,1.0,0,
83,-2.8461094877278885,0.006949343104073211,0.002212848757628549,normal,normal: mean=0 var=1,0.0,1.0,0,
84,-2.829015737050841,0.007294726760402544,0.002334570147880973,normal,normal: mean=0 var=1,0.0,1.0,0,
85,-2.811921986373793,0.007655038948292399,0.002462322297908415,normal,normal: mean=0 var=1,0.0,1.0,0,
86,-2.794828235696746,0.008030801307866363,0.002596364833841711,normal,normal: mean=0 var=1,0.0,1.0,0,
87,-2.7777344850196988,0.008422547291165353,0.0027369663996224406,normal,normal: mean=0 var=1,0.0,1.0,0,
88,-2.760640734342651,0.00883082210337066,0.002884404858439077,normal,normal: mean=0 var=1,0.0,1.0,0,
89,-2.7435469836656035,0.009256182623568062,0.0030389674929847507,normal,normal: mean=0 var=1,0.0,1.0,0,
90,-2.7264532329885562,0.009699197304197379,0.0032009512041796563,normal,normal: mean=0 var=1,0.0,1.0,0,
91,-2.709359482311509,0.01016044604833489,0.00337066270798642,normal,normal: mean=0 var=1,0.0,1.0,0,
92,-2.6922657316344614,0.010640520063961234,0.0035484187299322403,normal,normal: mean=0 var=1,0.0,1.0,0,
93,-2.6751719809574137,0.011140021694374837,0.0037345461969372313,normal,normal: mean=0 var=1,0.0,1.0,0,
94,-2.6580782302803665,0.011659564223921079,0.003929382426034136,normal,normal: mean=0 var=1,0.0,1.0,0,
95,-2.6409844796033193,0.012199771658219352,0.00413327530955038,normal,normal: mean=0 var=1,0.0,1.0,0,
96,-2.6238907289262716,0.012761278478085206,0.004346583496309676,normal,normal: mean=0 var=1,0.0,1.0,0,
97,-2.6067969782492244,0.0133447293663622,0.004569676568396833,normal,normal: mean=0 var=1,0.0,1.0,0,
98,-2.589703227572177,0.013950778906898496,0.004802935213016097,normal,normal: mean=0 var=1,0.0,1.0,0,
99,-2.5726094768951295,0.01458009125492563,0.0050467513889604675,normal,normal: mean=0 var=1,0.0,1.0,0,
100,-2.555515726218082,0.01523333977812312,0.005301528487196996,normal,normal: mean=0 var=1,0.0,1.0,0,
101,-2.5384219755410347,0.01591120666768109,0.005567681485061114,normal,normal: mean=0 var=1,0.0,1.0,0,
102,-2.5213282248639874,0.01661438251870472,0.005845637093541434,normal,normal: mean=0 var=1,0.0,1.0,0,
103,-2.50423447418694,0.01734356587933859,0.00613583389712555,normal,normal: mean=0 var=1,0.0,1.0,0,
104,-2.487140723509892,0.018099462768027073,0.006438722485667178,normal,normal: mean=0 var=1,0.0,1.0,0,
105,-2.470046972832845,0.018882786158367443,0.006754765577725265,normal,normal: mean=0 var=1,0.0,1.0,0,
106,-2.4529532221557977,0.0196942554310561,0.007084438134816685,normal,normal: mean=0 var=1,0.0,1.0,0,
107,-2.43585947147875,0.020534595792475054,0.007428227466016158,normal,normal: mean=0 var=1,0.0,1.0,0,
108,-2.4187657208017024,0.021404537659516183,0.007786633322329554,normal,normal: mean=0 var=1,0.0,1.0,0,
109,-2.401671970124655,0.02230481601029377,0.008160167980260528,normal,normal: mean=0 var=1,0.0,1.0,0,
110,-2.384578219447608,0.023236169700452055,0.008549356313984676,normal,normal: mean=0 var=1,0.0,1.0,0,
111,-2.3674844687705603,0.024199340744833747,0.008954735855541041,normal,normal: mean=0 var=1,0.0,1.0,0,
112,-2.3503907180935126,0.02519507356433824,0.00937685684244731,normal,normal: mean=0 var=1,0.0,1.0,0,
113,-2.3332969674164654,0.026224114197863517,0.009816282252142747,normal,normal: mean=0 var=1,0.0,1.0,0,
114,-2.316203216739418,0.027287209479294288,0.010273587822661428,normal,normal: mean=0 var=1,0.0,1.0,0,
115,-2.2991094660623705,0.028385106179570015,0.010749362058938635,normal,normal: mean=0 var=1,0.0,1.0,0,
116,-2.282015715385323,0.02951855011394105,0.011244206224154115,normal,normal: mean=0 var=1,0.0,1.0,0,
117,-2.2649219647082757,0.030688285214598158,0.011758734315518887,normal,normal: mean=0 var=1,0.0,1.0,0,
118,-2.2478282140312285,0.0318950525689401,0.01229357302391554,normal,normal: mean=0 var=1,0.0,1.0,0,
119,-2.230734463354181,0.0331395894238262,0.012849361676807801,normal,normal: mean=0 var=1,0.0,1.0,0,
120,-2.2136407126771336,0.034422628156245964,0.013426752163841111,normal,normal: mean=0 var=1,0.0,1.0,0,
121,-2.196546962000086,0.03574489521092465,0.01402640884456498,normal,normal: mean=0 var=1,0.0,1.0,0,
122,-2.1794532113230387,0.03710711000547238,0.014649008437716335,normal,normal: mean=0 var=1,0.0,1.0,0,
123,-2.162359460645991,0.03850998380377708,0.015295239891515749,normal,normal: mean=0 var=1,0.0,1.0,0,
124,-2.145265709968944,0.03995421855843272,0.015965804234439416,normal,normal: mean=0 var=1,0.0,1.0,0,
125,-2.128171959291896,0.04144050572309117,0.016661414405945832,normal,normal: mean=0 var=1,0.0,1.0,0,
126,-2.111078208614849,0.0429695250357204,0.017382795066650723,normal,normal: mean=0 var=1,0.0,1.0,0,
127,-2.0939844579378013,0.044541943273851435,0.018130682387462575,normal,normal: mean=0 var=1,0.0,1.0,0,
128,-2.076890707260754,0.0461584129829928,0.018905823817209247,normal,normal: mean=0 var=1,0.0,1.0,0,
129,-2.059796956583707,0.04781957117949353,0.019708977828308404,normal,normal: mean=0 var=1,0.0,1.0,0,
130,-2.042703205906659,0.0495260380292331,0.020540913640056294,normal,normal: mean=0 var=1,0.0,1.0,0,
131,-2.025609455229612,0.05127841550361974,0.02140241091913402,normal,normal: mean=0 var=1,0.0,1.0,0,
132,-2.0085157045525643,0.053077286014477976,0.02229425945695754,normal,normal: mean=0 var=1,0.0,1.0,0,
133,-1.9914219538755171,0.054923211029506654,0.02321725882352372,normal,normal: mean=0 var=1,0.0,1.0,0,
134,-1.9743282031984695,0.05681672967009042,0.024172217997436317,normal,normal: mean=0 var=1,0.0,1.0,0,
135,-1.9572344525214223,0.058758357293344506,0.02515995497182544,normal,normal: mean=0 var=1,0.0,1.0,0,
136,-1.9401407018443746,0.06074858406037446,0.026181296335908606,normal,normal: mean=0 var=1,0.0,1.0,0,
137,-1.9230469511673274,0.06278787349282615,0.027237076831974388,normal,normal: mean=0 var=1,0.0,1.0,0,
138,-1.9059532004902797,0.06487666101990047,0.0283281388876077,normal,normal: mean=0 var=1,0.0,1.0,0,
139,-1.8888594498132325,0.06701535251809752,0.029455332123012618,normal,normal: mean=0 var=1,0.0,1.0,0,
140,-1.8717656991361848,0.06920432284604992,0.03061951283332869,normal,normal: mean=0 var=1,0.0,1.0,0,
141,-1.8546719484591376,0.07144391437689071,0.03182154344587701,normal,normal: mean=0 var=1,0.0,1.0,0,
142,-1.83757819778209,0.07373443553069033,0.033062291952316525,normal,normal: mean=0 var=1,0.0,1.0,0,
143,-1.8204844471050428,0.07607615930957742,0.03434263131573266,normal,normal: mean=0 var=1,0.0,1.0,0,
144,-1.803390696427995,0.07846932183824057,0.035663438852728366,normal,normal: mean=0 var=1,0.0,1.0,0,
145,-1.7862969457509479,0.08091412091258031,0.03702559559063199,normal,normal: mean=0 var=1,0.0,1.0,0,
146,-1.7692031950739002,0.08341071455935624,0.038429985599986505,normal,normal: mean=0 var=1,0.0,1.0,0,
147,-1.752109444396853,0.08595921960973658,0.03987749530253196,normal,normal: mean=0 var=1,0.0,1.0,0,
148,-1.7350156937198054,0.08855971028972445,0.0413690127549449,normal,normal: mean=0 var=1,0.0,1.0,0,
149,-1.7179219430427581,0.09121221683048746,0.04290542690864808,normal,normal: mean=0 var=1,0.0,1.0,0,
150,-1.700828192365711,0.09391672410167366,0.04448762684605825,normal,normal: mean=0 var=1,0.0,1.0,0,
151,-1.6837344416886633,0.09667317027083834,0.046116500993690294,normal,normal: mean=0 var=1,0.0,1.0,0,
152,-1.666640691011616,0.09948144549214924,0.04779293631259179,normal,normal: mean=0 var=1,0.0,1.0,0,
153,-1.6495469403345684,0.10234139062757079,0.04951781746663599,normal,normal: mean=0 var=1,0.0,1.0,0,
154,-1.6324531896575212,0.10525279600375256,0.05129202596925481,normal,normal: mean=0 var=1,0.0,1.0,0,
155,-1.6153594389804735,0.10821540020787201,0.05311643930925173,normal,normal: mean=0 var=1,0.0,1.0,0,
156,-1.5982656883034263,0.11122888892568834,0.054991930056386244,normal,normal: mean=0 var=1,0.0,1.0,0,
157,-1.5811719376263786,0.11429289382507732,0.056919364947481135,normal,normal: mean=0 var=1,0.0,1.0,0,
158,-1.5640781869493314,0.11740699148830741,0.05889960395385638,normal,normal: mean=0 var=1,0.0,1.0,0,
159,-1.5469844362722838,0.12057070239631473,0.060933499330952434,normal,normal: mean=0 var=1,0.0,1.0,0,
160,-1.5298906855952366,0.123783489968211,0.06302189465105729,normal,normal: mean=0 var=1,0.0,1.0,0,
161,-1.512796934918189,0.1270447596592378,0.06516562382011103,normal,normal: mean=0 var=1,0.0,1.0,0,
